Date,Data
2009.1.3,0.00004971
2009.1.4,0
2009.1.5,0
2009.1.6,0
2009.1.7,0
2009.1.8,0
2009.1.9,0.00069594
2009.1.10,0.00303233
2009.1.11,0.00462306
2009.1.12,0.00467277
2009.1.13,0.00611436
2009.1.14,0.00641262
2009.1.15,0.00626349
2009.1.16,0.00536871
2009.1.17,0.00541842
2009.1.18,0.005319
2009.1.19,0.00571668
2009.1.20,0.00566697
2009.1.21,0.00507045
2009.1.22,0.00452363
2009.1.23,0.00417566
2009.1.24,0.00999176
2009.1.25,0.00949466
2009.1.26,0.00477219
2009.1.27,0.0048219
2009.1.28,0.00556755
2009.1.29,0.00601494
2009.1.30,0.0058161
2009.1.31,0.00686002
2009.2.1,0.00561726
2009.2.2,0.00636291
2009.2.3,0.00690973
2009.2.4,0.00591552
2009.2.5,0.00626349
2009.2.6,0.00606465
2009.2.7,0.00641262
2009.2.8,0.00656176
2009.2.9,0.00666118
2009.2.10,0.00596523
2009.2.11,0.00661147
2009.2.12,0.00591552
2009.2.13,0.00616407
2009.2.14,0.0067606
2009.2.15,0.00636291
2009.2.16,0.00606465
2009.2.17,0.0058161
2009.2.18,0.00586581
2009.2.19,0.00616407
2009.2.20,0.00606465
2009.2.21,0.00566697
2009.2.22,0.00601494
2009.2.23,0.00536871
2009.2.24,0.00526929
2009.2.25,0.00521958
2009.2.26,0.005319
2009.2.27,0.00571668
2009.2.28,0.00492132
2009.3.1,0.00521958
2009.3.2,0.00536871
2009.3.3,0.00521958
2009.3.4,0.00516987
2009.3.5,0.00556755
2009.3.6,0.0058161
2009.3.7,0.00541842
2009.3.8,0.00571668
2009.3.9,0.00536871
2009.3.10,0.005319
2009.3.11,0.00566697
2009.3.12,0.00586581
2009.3.13,0.00561726
2009.3.14,0.00546813
2009.3.15,0.00611436
2009.3.16,0.00601494
2009.3.17,0.00566697
2009.3.18,0.00566697
2009.3.19,0.00606465
2009.3.20,0.00586581
2009.3.21,0.00248551
2009.3.22,0.00591552
2009.3.23,0.00646234
2009.3.24,0.00521958
2009.3.25,0.0058161
2009.3.26,0.0058161
2009.3.27,0.00526929
2009.3.28,0.00591552
2009.3.29,0.00576639
2009.3.30,0.00596523
2009.3.31,0.00546813
2009.4.1,0.00566697
2009.4.2,0.00571668
2009.4.3,0.00576639
2009.4.4,0.00561726
2009.4.5,0.00646234
2009.4.6,0.00541842
2009.4.7,0.00497103
2009.4.8,0.00521958
2009.4.9,0.00492132
2009.4.10,0.00536871
2009.4.11,0.00596523
2009.4.12,0.00586581
2009.4.13,0.00571668
2009.4.14,0.00616407
2009.4.15,0.00561726
2009.4.16,0.00611436
2009.4.17,0.00556755
2009.4.18,0.00626349
2009.4.19,0.00591552
2009.4.20,0.00591552
2009.4.21,0.00611436
2009.4.22,0.00601494
2009.4.23,0.00372827
2009.4.24,0.00571668
2009.4.25,0.00586581
2009.4.26,0.00556755
2009.4.27,0.00516987
2009.4.28,0.0058161
2009.4.29,0.00636291
2009.4.30,0.00651205
2009.5.1,0.00601494
2009.5.2,0.00626349
2009.5.3,0.00526929
2009.5.4,0.00636291
2009.5.5,0.00671089
2009.5.6,0.00671089
2009.5.7,0.00606465
2009.5.8,0.005319
2009.5.9,0.0038774
2009.5.10,0.00422537
2009.5.11,0.00596523
2009.5.12,0.00646234
2009.5.13,0.00551784
2009.5.14,0.00690973
2009.5.15,0.0067606
2009.5.16,0.00591552
2009.5.17,0.0063132
2009.5.18,0.00586581
2009.5.19,0.00427508
2009.5.20,0.00596523
2009.5.21,0.00407624
2009.5.22,0.00303233
2009.5.23,0.00159073
2009.5.24,0.00497103
2009.5.25,0.00541842
2009.5.26,0.00621378
2009.5.27,0.00591552
2009.5.28,0.00472248
2009.5.29,0.00526929
2009.5.30,0.00541842
2009.5.31,0.00477219
2009.6.1,0.00352943
2009.6.2,0.00551784
2009.6.3,0.00352943
2009.6.4,0.00328088
2009.6.5,0.00149131
2009.6.6,0.00139189
2009.6.7,0.00079536
2009.6.8,0.00407624
2009.6.9,0.00452363
2009.6.10,0.00407624
2009.6.11,0.00442421
2009.6.12,0.00427508
2009.6.13,0.0038774
2009.6.14,0.00357914
2009.6.15,0.00417566
2009.6.16,0.00352943
2009.6.17,0.00392711
2009.6.18,0.00397682
2009.6.19,0.00432479
2009.6.20,0.0038774
2009.6.21,0.00402653
2009.6.22,0.00377798
2009.6.23,0.00377798
2009.6.24,0.00472248
2009.6.25,0.0033803
2009.6.26,0.00447392
2009.6.27,0.00417566
2009.6.28,0.00228667
2009.6.29,0.00412595
2009.6.30,0.00422537
2009.7.1,0.00367856
2009.7.2,0.00412595
2009.7.3,0.00407624
2009.7.4,0.00442421
2009.7.5,0.00392711
2009.7.6,0.00417566
2009.7.7,0.00343001
2009.7.8,0.00367856
2009.7.9,0.00427508
2009.7.10,0.00402653
2009.7.11,0.00412595
2009.7.12,0.00382769
2009.7.13,0.0038774
2009.7.14,0.00343001
2009.7.15,0.00223696
2009.7.16,0.00352943
2009.7.17,0.00233638
2009.7.18,0.00019884
2009.7.19,0.00347972
2009.7.20,0.00347972
2009.7.21,0.00407624
2009.7.22,0.00298262
2009.7.23,0.00377798
2009.7.24,0.00362885
2009.7.25,0.00159073
2009.7.26,0.00104392
2009.7.27,0.00367856
2009.7.28,0.00203812
2009.7.29,0.0009445
2009.7.30,0.00074565
2009.7.31,0.00084507
2009.8.1,0.00139189
2009.8.2,0.00114334
2009.8.3,0.00059652
2009.8.4,0.00402653
2009.8.5,0.00432479
2009.8.6,0.00447392
2009.8.7,0.00397682
2009.8.8,0.00397682
2009.8.9,0.00502074
2009.8.10,0.00372827
2009.8.11,0.00347972
2009.8.12,0.00313175
2009.8.13,0.00422537
2009.8.14,0.00313175
2009.8.15,0.00129247
2009.8.16,0.0009445
2009.8.17,0.00084507
2009.8.18,0.0004971
2009.8.19,0.00089478
2009.8.20,0.00109363
2009.8.21,0.00069594
2009.8.22,0.00034797
2009.8.23,0.00074565
2009.8.24,0.00074565
2009.8.25,0.00248551
2009.8.26,0.00238609
2009.8.27,0.0014416
2009.8.28,0.00372827
2009.8.29,0.0038774
2009.8.30,0.0048219
2009.8.31,0.00427508
2009.9.1,0.0038774
2009.9.2,0.00328088
2009.9.3,0.00303233
2009.9.4,0.00318146
2009.9.5,0.00377798
2009.9.6,0.0033803
2009.9.7,0.0038774
2009.9.8,0.00343001
2009.9.9,0.00268435
2009.9.10,0.00333059
2009.9.11,0.00333059
2009.9.12,0.00343001
2009.9.13,0.00372827
2009.9.14,0.00367856
2009.9.15,0.00218725
2009.9.16,0.00357914
2009.9.17,0.00417566
2009.9.18,0.0038774
2009.9.19,0.00367856
2009.9.20,0.0038774
2009.9.21,0.00343001
2009.9.22,0.00124276
2009.9.23,0.00178957
2009.9.24,0.0048219
2009.9.25,0.00452363
2009.9.26,0.00497103
2009.9.27,0.00432479
2009.9.28,0.00422537
2009.9.29,0.0043745
2009.9.30,0.00422537
2009.10.1,0.00407624
2009.10.2,0.00357914
2009.10.3,0.0028832
2009.10.4,0.00263464
2009.10.5,0.00273406
2009.10.6,0.00213754
2009.10.7,0.00298262
2009.10.8,0.00347972
2009.10.9,0.00392711
2009.10.10,0.00382769
2009.10.11,0.00367856
2009.10.12,0.0028832
2009.10.13,0.00283349
2009.10.14,0.00343001
2009.10.15,0.00352943
2009.10.16,0.00298262
2009.10.17,0.00283349
2009.10.18,0.00367856
2009.10.19,0.00556755
2009.10.20,0.00472248
2009.10.21,0.00397682
2009.10.22,0.00447392
2009.10.23,0.00442421
2009.10.24,0.00308204
2009.10.25,0.00377798
2009.10.26,0.00352943
2009.10.27,0.00318146
2009.10.28,0.00328088
2009.10.29,0.00228667
2009.10.30,0.00298262
2009.10.31,0.00228667
2009.11.1,0.00124276
2009.11.2,0.00164044
2009.11.3,0.00308204
2009.11.4,0.00313175
2009.11.5,0.00283349
2009.11.6,0.00308204
2009.11.7,0.00343001
2009.11.8,0.00362885
2009.11.9,0.00318146
2009.11.10,0.0038774
2009.11.11,0.00318146
2009.11.12,0.00328088
