Date,Data
2012.4.25,383.698
2012.4.26,0
2012.4.27,0
2012.4.28,12.815
2012.4.29,0
2012.4.30,0
2012.5.1,65.75
2012.5.2,0
2012.5.3,102.168
2012.5.4,285.021
2012.5.5,379.468
2012.5.6,0
2012.5.7,0
2012.5.8,0
2012.5.9,0
2012.5.10,0
2012.5.11,192.73
2012.5.12,0
2012.5.13,0
2012.5.14,0
2012.5.15,0
2012.5.16,0
2012.5.17,0
2012.5.18,348.068
2012.5.19,364.52
2012.5.20,0
2012.5.21,0
2012.5.22,0
2012.5.23,0
2012.5.24,0
2012.5.25,35.14563
2012.5.26,0
2012.5.27,242.6
2012.5.28,12.86112108
2012.5.29,4.6
2012.5.30,8.66144426
2012.5.31,0
2012.6.1,5.63644431
2012.6.2,0
2012.6.3,0
2012.6.4,20.85083102
2012.6.5,64.96411748
2012.6.6,0
2012.6.7,1
2012.6.8,0
2012.6.9,0
2012.6.10,11.3109
2012.6.11,0
2012.6.12,21.04698193
2012.6.13,45.98317849
2012.6.14,1
2012.6.15,76.4485055
2012.6.16,10.65
2012.6.17,11.04147985
2012.6.18,29.88992601
2012.6.19,0
2012.6.20,22.25689353
2012.6.21,400.7963855
2012.6.22,16.03912853
2012.6.23,4.94637042
2012.6.24,19.61972348
2012.6.25,24.15198908
2012.6.26,22.91698713
2012.6.27,13.18
2012.6.28,37.55762618
2012.6.29,12.20094446
2012.6.30,1.4052141
2012.7.1,15.65849608
2012.7.2,18.82929207
2012.7.3,4.34104457
2012.7.4,3.59742979
2012.7.5,6.11422634
2012.7.6,2.04260946
2012.7.7,25.99895271
2012.7.8,17.77217
2012.7.9,15.67810661
2012.7.10,12.11816911
2012.7.11,49.78347656
2012.7.12,1.11200579
2012.7.13,15.55151908
2012.7.14,7.27146131
2012.7.15,282.8782833
2012.7.16,63.28022403
2012.7.17,67.93206484
2012.7.18,16.39998099
2012.7.19,0
2012.7.20,5.26344509
2012.7.21,15.45361831
2012.7.22,3.39324697
2012.7.23,5.80917699
2012.7.24,16.32253
2012.7.25,5.37004337
2012.7.26,26.02482612
2012.7.27,11.27524729
2012.7.28,0
2012.7.29,26.2815323
2012.7.30,16.67729926
2012.7.31,19.27745896
2012.8.1,4.1565
2012.8.2,0
2012.8.3,0
2012.8.4,2
2012.8.5,5.53415031
2012.8.6,0.5
2012.8.7,0
2012.8.8,0
2012.8.9,37.2005826
2012.8.10,9.7295
2012.8.11,0.76651075
2012.8.12,0
2012.8.13,18.46294483
2012.8.14,2.61108638
2012.8.15,9.7
2012.8.16,7.51
2012.8.17,0.59
2012.8.18,0.0009
2012.8.19,11
2012.8.20,0
2012.8.21,1
2012.8.22,1
2012.8.23,0
2012.8.24,0.7698
2012.8.25,0
2012.8.26,0
2012.8.27,9.13666825
2012.8.28,0.54324755
2012.8.29,1.00165
2012.8.30,0.40165869
2012.8.31,0
2012.9.1,0
2012.9.2,5.07801157
2012.9.3,0.0103946
2012.9.4,44.79041921
2012.9.5,0.03322287
2012.9.6,14.89679482
2012.9.7,0.01170615
2012.9.8,1.1587922
2012.9.9,0.01331083
2012.9.10,1.85084521
2012.9.11,3.11701042
2012.9.12,5.54697895
2012.9.13,0.03423954
2012.9.14,3.69466718
2012.9.15,2.5409278
2012.9.16,3.93446595
2012.9.17,18.55108528
2012.9.18,0.33135378
2012.9.19,4.48377
2012.9.20,0.302
2012.9.21,0.05112626
2012.9.22,10.78481642
2012.9.23,0
2012.9.24,48.90343983
2012.9.25,11.39103333
2012.9.26,0.0513
2012.9.27,7.03831423
2012.9.28,15.78254
2012.9.29,0.0514408
2012.9.30,0
2012.10.1,0.0532493
2012.10.2,0
2012.10.3,0.0006
2012.10.4,0
2012.10.5,0.00149995
2012.10.6,0.00149995
2012.10.7,0.00239992
2012.10.8,18.84421697
2012.10.9,0.0014
2012.10.10,0.05488655
2012.10.11,0
2012.10.12,0.00439998
2012.10.13,0.0524948
2012.10.14,0.00089999
2012.10.15,0.0037
2012.10.16,0.00849999
2012.10.17,0
2012.10.18,0.05745723
2012.10.19,0.07118977
2012.10.20,0.08008327
2012.10.21,0.11453365
2012.10.22,0.08075095
2012.10.23,0.05737777
2012.10.24,0.05844303
2012.10.25,0.01590008
2012.10.26,0.01374393
2012.10.27,0.0529027
2012.10.28,0.07629248
2012.10.29,0.01095
2012.10.30,0.00145
