Date,Data
2009.10.5,0.99774766
2009.10.6,0.99572807
2009.10.7,0.99396464
2009.10.8,0.99132341
2009.10.9,0.98894863
2009.10.10,0.98512465
2009.10.11,0.9826116
2009.10.12,0.97553386
2009.10.13,0.97388207
2009.10.14,0.97135031
2009.10.15,0.96944251
2009.10.16,0.96745201
2009.10.17,0.9651706
2009.10.18,0.96188211
2009.10.19,0.9583225
2009.10.20,0.95250932
2009.10.21,0.94850503
2009.10.22,0.94574213
2009.10.23,0.94407815
2009.10.24,0.94211378
2009.10.25,0.94001302
2009.10.26,0.93640764
2009.10.27,0.93403145
2009.10.28,0.93275973
2009.10.29,0.9301001
2009.10.30,0.92741742
2009.10.31,0.92526701
2009.11.1,0.92270101
2009.11.2,0.92381835
2009.11.3,0.92266263
2009.11.4,0.92202211
2009.11.5,0.92003627
2009.11.6,0.91664603
2009.11.7,0.91384432
2009.11.8,0.91003481
2009.11.9,0.90785615
2009.11.10,0.90337709
2009.11.11,0.9059859
2009.11.12,0.9066668
2009.11.13,0.90493931
2009.11.14,0.89720541
2009.11.15,0.88985821
2009.11.16,0.88239097
2009.11.17,0.87832111
2009.11.18,0.86785769
2009.11.19,0.8649236
2009.11.20,0.86280421
2009.11.21,0.85877516
2009.11.22,0.85490686
2009.11.23,0.84346005
2009.11.24,0.82827436
2009.11.25,0.82058499
2009.11.26,0.81749735
2009.11.27,0.80758215
2009.11.28,0.80293577
2009.11.29,0.79660382
2009.11.30,0.79316861
2009.12.1,0.78242133
2009.12.2,0.77566461
2009.12.3,0.76623077
2009.12.4,0.75741986
2009.12.5,0.75661794
2009.12.6,0.74888827
2009.12.7,0.74090534
2009.12.8,0.7316676
2009.12.9,0.72410679
2009.12.10,0.71479713
2009.12.11,0.70980866
2009.12.12,0.69599148
2009.12.13,0.68255257
2009.12.14,0.68243036
2009.12.15,0.68006878
2009.12.16,0.68086498
2009.12.17,0.67221595
2009.12.18,0.66882343
2009.12.19,0.67173516
2009.12.20,0.66628018
2009.12.21,0.66251129
2009.12.22,0.66240011
2009.12.23,0.65913674
2009.12.24,0.65590537
2009.12.25,0.65283237
2009.12.26,0.64925306
2009.12.27,0.64585338
2009.12.28,0.64309177
2009.12.29,0.63967776
2009.12.30,0.64224052
2009.12.31,0.66320024
2010.1.1,0.67423849
2010.1.2,0.6716649
2010.1.3,0.66787157
2010.1.4,0.66247667
2010.1.5,0.65853916
2010.1.6,0.65533263
2010.1.7,0.6523317
2010.1.8,0.64937735
2010.1.9,0.64648774
2010.1.10,0.64288814
2010.1.11,0.63990651
2010.1.12,0.63952582
2010.1.13,0.63649368
2010.1.14,0.63385134
2010.1.15,0.63128978
2010.1.16,0.62903614
2010.1.17,0.62669153
2010.1.18,0.62447054
2010.1.19,0.62228282
2010.1.20,0.61951735
2010.1.21,0.61648288
2010.1.22,0.61419649
2010.1.23,0.61146832
2010.1.24,0.60886525
2010.1.25,0.60533448
2010.1.26,0.60210766
2010.1.27,0.59942034
2010.1.28,0.59654678
2010.1.29,0.59338076
2010.1.30,0.5900228
2010.1.31,0.58742628
2010.2.1,0.58455759
2010.2.2,0.58231661
2010.2.3,0.5781892
2010.2.4,0.57473412
2010.2.5,0.57137328
2010.2.6,0.56854127
2010.2.7,0.56537411
2010.2.8,0.5626344
2010.2.9,0.56345317
2010.2.10,0.56043932
2010.2.11,0.55805345
2010.2.12,0.55548977
2010.2.13,0.55227599
2010.2.14,0.54942702
2010.2.15,0.54703236
2010.2.16,0.54441093
2010.2.17,0.54123206
2010.2.18,0.53849558
2010.2.19,0.53599404
2010.2.20,0.53331013
2010.2.21,0.53046237
2010.2.22,0.52718027
2010.2.23,0.52406249
2010.2.24,0.52192643
2010.2.25,0.5200321
2010.2.26,0.51794074
2010.2.27,0.51586613
2010.2.28,0.51399883
2010.3.1,0.51168363
2010.3.2,0.50947119
2010.3.3,0.50769636
2010.3.4,0.50492868
2010.3.5,0.50296581
2010.3.6,0.5009477
2010.3.7,0.49892556
2010.3.8,0.49748674
2010.3.9,0.49585875
2010.3.10,0.49406476
2010.3.11,0.4926016
2010.3.12,0.49127796
2010.3.13,0.48961442
2010.3.14,0.48826365
2010.3.15,0.48681317
2010.3.16,0.48538111
2010.3.17,0.48391733
2010.3.18,0.48243959
2010.3.19,0.48083492
2010.3.20,0.47883281
2010.3.21,0.47694325
2010.3.22,0.47510937
2010.3.23,0.47297902
2010.3.24,0.47125565
2010.3.25,0.46933808
2010.3.26,0.46738395
2010.3.27,0.46563224
2010.3.28,0.46378734
2010.3.29,0.46189825
2010.3.30,0.45983316
2010.3.31,0.45784332
2010.4.1,0.45625628
2010.4.2,0.45479241
2010.4.3,0.45329145
2010.4.4,0.45169237
2010.4.5,0.45023713
2010.4.6,0.44870546
2010.4.7,0.44690313
2010.4.8,0.44525044
2010.4.9,0.44356168
2010.4.10,0.44125935
2010.4.11,0.43925025
2010.4.12,0.43748515
2010.4.13,0.43585448
2010.4.14,0.43431272
2010.4.15,0.42469375
2010.4.16,0.42296712
2010.4.17,0.42115294
2010.4.18,0.41913825
2010.4.19,0.41726832
2010.4.20,0.41575705
2010.4.21,0.4140203
2010.4.22,0.41276844
2010.4.23,0.41159436
2010.4.24,0.4102941
2010.4.25,0.40914923
2010.4.26,0.40788854
2010.4.27,0.40651371
2010.4.28,0.40514817
2010.4.29,0.40403977
2010.4.30,0.40295985
2010.5.1,0.40159575
2010.5.2,0.40044757
2010.5.3,0.39927656
2010.5.4,0.39828037
2010.5.5,0.39728186
2010.5.6,0.39620156
2010.5.7,0.39524942
2010.5.8,0.39414434
2010.5.9,0.39311517
2010.5.10,0.3922061
2010.5.11,0.39142117
2010.5.12,0.39054806
2010.5.13,0.38965086
2010.5.14,0.38885569
2010.5.15,0.38822303
2010.5.16,0.38744028
2010.5.17,0.38626037
2010.5.18,0.38510891
2010.5.19,0.38399147
2010.5.20,0.38261724
2010.5.21,0.38143373
2010.5.22,0.38013097
2010.5.23,0.37873131
2010.5.24,0.37749287
2010.5.25,0.37611905
2010.5.26,0.37467109
2010.5.27,0.37343332
2010.5.28,0.37200593
2010.5.29,0.3707993
2010.5.30,0.36985768
2010.5.31,0.36896473
2010.6.1,0.36811978
2010.6.2,0.36720412
2010.6.3,0.3662621
2010.6.4,0.36549102
2010.6.5,0.36460063
2010.6.6,0.36369627
2010.6.7,0.36274182
2010.6.8,0.36177427
2010.6.9,0.36076387
2010.6.10,0.35980683
2010.6.11,0.35880738
2010.6.12,0.35800827
2010.6.13,0.35700183
2010.6.14,0.3563995
2010.6.15,0.3553268
2010.6.16,0.35450336
2010.6.17,0.35366069
2010.6.18,0.3527991
2010.6.19,0.35191872
2010.6.20,0.35086705
2010.6.21,0.34999638
2010.6.22,0.3491188
2010.6.23,0.34807261
2010.6.24,0.34713251
2010.6.25,0.34630234
2010.6.26,0.34542669
2010.6.27,0.34445163
2010.6.28,0.34362018
2010.6.29,0.34270393
2010.6.30,0.34172265
2010.7.1,0.34058669
