Date,Data
2019.12.21,8631.591683
2019.12.22,8587.326498
2019.12.23,8544.667727
2019.12.24,8492.132636
2019.12.25,8453.020012
2019.12.26,8434.963092
2019.12.27,8405.516866
2019.12.28,8391.948545
2019.12.29,8374.735082
2019.12.30,8320.798785
2019.12.31,8312.913682
2020.1.1,8293.207778
2020.1.2,8281.241001
2020.1.3,8260.13199
2020.1.4,8242.627093
2020.1.5,8233.042691
2020.1.6,8230.615761
2020.1.7,8228.355066
2020.1.8,8218.164675
2020.1.9,8191.022999
2020.1.10,8174.715073
2020.1.11,8159.709677
2020.1.12,8135.163146
2020.1.13,8123.672493
2020.1.14,8150.650542
2020.1.15,8136.61075
2020.1.16,8114.319478
2020.1.17,8054.599482
2020.1.18,8038.160069
2020.1.19,8013.006011
2020.1.20,8005.250091
2020.1.21,8003.417711
2020.1.22,8012.321597
2020.1.23,8009.5643
2020.1.24,7961.504763
2020.1.25,7935.043841
2020.1.26,7889.601587
2020.1.27,7869.657502
2020.1.28,7851.048676
2020.1.29,7788.478762
2020.1.30,7709.636427
2020.1.31,7702.515581
2020.2.1,7688.828527
2020.2.2,7672.052287
2020.2.3,7529.169653
2020.2.4,7487.70634
2020.2.5,7472.233679
2020.2.6,7478.425689
2020.2.7,7488.662343
2020.2.8,7492.23399
2020.2.9,7489.621419
2020.2.10,7474.138001
2020.2.11,7456.338726
2020.2.12,7454.115704
2020.2.13,7469.799605
2020.2.14,7497.307088
2020.2.15,7517.864396
2020.2.16,7527.169877
2020.2.17,7541.586642
2020.2.18,7541.239496
2020.2.19,7548.273271
2020.2.20,7573.68338
2020.2.21,7609.090675
2020.2.22,7652.468696
2020.2.23,7675.979011
2020.2.24,7694.507527
2020.2.25,7715.079373
2020.2.26,7730.708347
2020.2.27,7764.409584
2020.2.28,7835.668888
2020.2.29,7876.701946
2020.3.1,7933.0396
2020.3.2,7954.039734
2020.3.3,7991.197763
2020.3.4,8047.153346
2020.3.5,8079.345089
2020.3.6,8108.653417
2020.3.7,8164.960969
2020.3.8,8339.802561
2020.3.9,8520.391224
2020.3.10,8558.966987
2020.3.11,8664.422742
2020.3.12,8732.072395
2020.3.13,8770.912606
2020.3.14,8817.113501
2020.3.15,8857.75268
2020.3.16,8889.263466
2020.3.17,8939.849234
2020.3.18,8972.366351
